,k8s-worker-4,k8s-worker-8,k8s-worker-7,k8s-worker-6,k8s-worker-1,k8s-worker-9,k8s-worker-5,k8s-worker-2,k8s-worker-3
k8s-worker-3,1.16,1.037,1.597,1.198,0.9740000000000001,1.145,0.9909999999999999,1.317,0.0
k8s-worker-4,0.0,1.3159999999999998,1.357,1.946,1.391,1.0050000000000001,0.894,1.4400000000000002,1.108
k8s-worker-8,2.133,0.0,1.2049999999999998,1.357,0.7699999999999999,1.1039999999999999,1.149,1.266,0.7150000000000001
k8s-worker-7,1.6900000000000002,1.4020000000000001,0.0,1.234,1.498,1.424,1.34,1.201,1.466
k8s-worker-6,1.494,1.574,1.229,0.0,1.3860000000000001,1.8190000000000002,1.753,1.199,1.346
k8s-worker-1,1.374,0.866,1.504,1.414,0.0,1.15,1.192,1.434,0.727
k8s-worker-9,1.156,1.018,1.452,1.3699999999999999,0.8350000000000001,0.0,0.791,1.385,1.038
k8s-worker-5,0.705,1.25,1.459,1.2,1.2750000000000001,1.0939999999999999,0.0,1.472,0.988
k8s-worker-2,1.313,1.349,1.195,1.1440000000000001,1.529,1.582,1.593,0.0,1.2429999999999999
